施設名,所在地,電話番号,latitude,longitude
鳥生保育所,今治市北鳥生町三丁目1番15号,898223749,コミュニティ確認済みアイコン,133.007296
常盤保育所,今治市南日吉町二丁目2番8号,898315058,34.057515,132.993141
城東保育所,今治市美須賀町四丁目1番48号,898223451,34.059432,133.011638
乃万保育所,今治市延喜甲365番地2,898226289,34.063498,132.957147
日高保育所,今治市別名549番地1,898231512,34.046119,132.975335
富田保育所,今治市上徳乙287番地7,898482323,34.032707,133.012564
桜井保育所,今治市登畑甲40番地,898480555,34.022279,133.021928
日の出保育所,今治市玉川町小鴨部甲230番地2,898553032,34.026563,132.964389
九和保育所,今治市玉川町大野甲86番地3,898553132,34.021154,132.944133
樋口保育所,今治市波方町養老甲1024番地,898417241,34.101247,132.947425
亀岡保育所,今治市菊間町佐方490番地,898545022,34.05471,132.874939
菊間保育所,今治市菊間町長坂1999番地,898542209,34.032671,132.845044
岡村保育所,今治市関前岡村甲415番地,897882903,34.188123,132.883095
吉海認定こども園,今治市吉海町八幡56番地,897842108,34.146934,133.045082
宮窪認定こども園,今治市宮窪町宮窪2901番地,897863412,34.171124,133.075152
伯方認定こども園,今治市伯方町木浦甲1200番地1,897720227,34.205914,133.112225
上浦認定こども園,今治市上浦町井口5931番地1,897872385,34.263485,133.037943
大三島認定こども園,今治市大三島町明日2493番地1,897820164,34.25139,132.997168